Rating,Tanggal,Nama,Ulasan
5,2026-06-08T02:10:30.704Z,Vivian Lucia,"Tempat ini adalah bintang 5 yang mudah dari saya! Ketenangan suasana melampaui setiap sudut tempat ini! Makanannya khas ‘prasmanan’, rasanya enak! Cukup otentik untuk restoran Jawa <3

Pemandangannya bintang 5, pastinya."
5,2026-06-07T07:12:25.106Z,Zulfaolita Primansyah,"Ketemu resto ini gak sengaja ternyata masakannya enak bumbunya medok, kalo kesini mesti nyoba tempe garisnya ehehe
Macam-macam masakannya banyak, harganya juga sesuai??
Penyajian minum an juga cepet jadi datang dah bisa langsung makan ??????

Ps foto makan beratnya gada udah keduluan di makan ehehe"
5,2026-06-07T03:39:33.378Z,Amir Rosyidi,"Pertama datang
Disambut ramah karyawan
""Sugeng rawuh"" ""Mbah Gito""
Makanan enak
Suasana asyik
Good pokoke"
4,2026-06-06T17:12:55.337Z,jati nugroho,"jika kamu ingin mendapatkan tempat yg special bersama orang yg special maka kamu akan mendapatkannya di sini.
Jika Kamu kangen dgn makan tradisional yg enak kamu juga akan mendapatkannya disini.
knp bintang saya kasih bintang 4...?
karena bintang 5 hanya milik jend besar soedirman dan Bpk Soeharto ????"
4,2026-06-06T16:05:29.930Z,Arista Mahesa,"Udah 3xnya kesini, 2x pas jam pagi ke siang. Kali ini dateng malem hari, ternyata kalau malam hari (pukul 7) menu prasmanan tinggal dikit banget.
Coba menu sharing aja, porsi lumayan bahkan nasi dan tehnya free refill.
Agak kecewanya karena mau tiup lilin acara ulang tahun Bapak, tapi tidak diperkenankan karena memang tidak boleh bawa makanan dari luar. Mungkin bisa kali ya untuk yang ulang tahun malah diberikan free “cake” ? Ngarep, hehehe."
5,2026-06-06T13:18:06.289Z,TUTI MIANA,Bagus
5,2026-06-06T07:04:49.831Z,Riyadi Budi,"Enak.. nyaman dan pelayanan memuaskan, pas datang disambut waitres dan dipastikan dulu dapat tempat makan baru ambil makanan prasmanan atau pesen menu."
1,2026-06-06T06:18:09.809Z,Sandi Wibisono.,"Cocok untuk yg suka foto², ndak cocok untuk yg mau makan ditempat sebelum jam 12 krn bnyk menu baru bisa dipesan jam 15. Tp menu yg lain bs lgsg ambil & bayar."
1,2026-06-06T02:48:21.022Z,Novi S Limbong,"Pelayanannya kurang bagus.. makanannya TIDAK enak, harganya mahal"
5,2026-06-04T02:15:34.624Z,Vhanie Ndull,"Tempat makan dengan menu prasmanan dan banyak pilihan, tempat nyaman, fasilitas lengkap, parkiran luas"
5,2026-06-03T10:47:27.127Z,Sarah Citraboga,"Puaaaasss
Makanannya
Tempatnya
Pelayanannya oke..."
5,2026-06-03T08:35:14.923Z,Hendra Do,Enakkkkk
5,2026-06-03T02:46:58.356Z,Dini A L,"Pilihan makanannya banyak, tempatnya juga luas bisa menampung banyak orang. Pilihan yang tepat sebagai resto keluarga. Pemandangannya indah & adem juga."
5,2026-06-03T00:31:55.813Z,Hidayat Widiyatmoko,Pelayanan ramah khas Jawa... Tempat luas.. Parkir luas.. Tempat asri.. Mushola bersih. Toilet bersih. Makan banyak pilihan.. Minuman banyak pilihan... Gak terlalu ANTRI..
5,2026-06-02T22:53:35.398Z,Muhammad Maut,"Makanannya enak bangeut, minumannya juga banyak,apalagi ada macam2 jenang"
5,2026-06-02T10:56:22.185Z,Kristina R,enak
5,2026-06-02T09:58:08.587Z,M Zidanul Adzkar,Enak
5,2026-06-02T09:42:59.884Z,Novi Triana,"Sebelum kesini sempet ngeliat rating dulu, awalnya ragu ternyata pas dateng dan nyobain sarapan kesini ternyata Luarbiasa Masyaallah banget pengalaman yg di dapet. Rekomended bgt pindang pedesnya..????"
5,2026-06-02T08:57:52.491Z,Ibnu Fadhilah,Berasa banget di rumah
5,2026-06-02T06:03:14.860Z,Agung Radit,"Resto nya nyaman,bersih&ramah untuk anak2,sempetin sholat dhuhur di mushola nya bareng karyawan yg lain,tempat nya juga bersih.pelayanan juga ramah, kebetulan saya bawa anak kecil umur 2,5 tahun,senang sekali karena ada kolam ikan,angsa&burung2 kecil.
Makanan juga enak,harga ramah dikantong."
1,2026-06-01T05:27:51.089Z,Home Decor Lovers,"Dah pesen makanan dari jam5 baru lengkap semua jam 7 malam , lama banget , terus pelayannya gak ramah , saya dipesankan meja no 24 oleh temen saya eh di kasih di no 2 … rasanya jg biasa aja not recommended …"
5,2026-05-31T10:36:01.750Z,Rangga Aja,"tadi pagi saya bersama keluarga datang ke resto jam 10an dan masyaalah sudah banyak antrian, saya kagum dengan pelayanannya yang sat set dan nggak ribet, tadi saya sempat mau marah karena minuman saya lama datengnya. Terus ada mas mas yang pake baju abu abu panjang agak gemuk tinggi saya panggil dan mas nya dengan bahasa khas Jogja beserta tenang menjelaskan bahwa antrian lagi panjang dan minuman saya di antrian ke tiga. Jadi kita sekeluarga nggak jadi bete berkat penjelasan tadi. Semoga semua karyawan seperti mas nya yang sabar walaupun kelihatan lagi repot gedebak gedebuk tapi tetap sabar dan tenang saat menghadapi tamu. Sukses terus buat resto Mbah Gito dan saya akan sering kesini ??"
5,2026-05-31T06:15:14.878Z,Avrizal Maulana Rifa'i,"pelayanan terbaik,makannya juga enak enak memang Worth it dengan harga segitu di sini,semoga pas balik kesini lagi masih sama"
5,2026-05-30T23:11:12.187Z,Santi Megawati,"Makanan enak, pelayanan cepat, suasana oke"
5,2026-05-30T14:20:25.217Z,Imam Muslih,"Makanan enak ??...meski menunggu agak lama, masih tolerable."
4,2026-05-30T10:32:58.992Z,Niko Yoga,"Cukup jauh dan tidak direkomendasikan untuk mobil dengan ground clearance rendah. Suasana dan makanannya lumayan, dan pelayanannya juga bagus."""
5,2026-05-30T07:59:03.805Z,Chairunnisa,"Tempat makan dengan vibe adem dan syahdu, dikelilingi sawah, ada kolam ikan, kandang burung, bebek.
Makanan tradisional yg sudah familier dgn lidah indonesia, menurut saya agak medok harus pake nasi untuk mengurangi.
Saya pesen matcha juga rasanya kentel bgt enak, lebih enak dari matcha2 viral pada umumnya. Bakwan jagungnya juga enak.
Cuma karena restonya cukup rame, parkir mobil ngga dapet di halaman resto jadi agak jauh dan ngambil makanannya ngantri cukup panjang. Buat lansia agak merepotkan harus ngantri. Ternyata bisa juga a la carte, tapi saya taunya telat hehe. Overall cukup baik"
4,2026-05-30T07:23:46.821Z,Ricko Setyawan,Good atmosphere tpi mungkin perlu recipe improvement
5,2026-05-30T02:58:05.989Z,Hendy Pratama,"Tempatnya asli, enak banget. Makanannya oke, vibe-nya pun juga bagus. Di sini makannya prasmanan ya, ada varian kopi juga—v60 dan kawan-kawan. yang paling asyik itu lokasinya yang berada di pinggir sawah. Jadi, tambah asri. Banyak area outdoor, gubuk, dll. Toilet ada di mana-mana. Saran saya, kesini enaknya pagi-pagi jam 7 atau jam 8. Vibe-nya mantap, kalau agak siang, tempatnya sudah full, antreannya panjang banget. Overall suka banget, harga juga masih oke. Saya makan 2 orang, habisnya 122 ribu."
5,2026-05-28T06:01:04.343Z,L,"Masuk kedai langsung disambut resepsionis but nyariin meja.
Makanannya enak, suasana tetap tenang walau pas rame pengunjung."
5,2026-05-28T01:30:36.268Z,LUKMAN ROSIDI,Besar
5,2026-05-26T14:23:28.866Z,yrelav,Penuh wisatawan
5,2026-05-26T06:07:40.911Z,Ika Rachma Pangesti,"Suasananya cukup adem, makanannya enak dan banyak pilihan, cukup affordable harganya."
1,2026-05-26T03:24:00.034Z,Satrio Wicaksono,"Pelayanannya lelet, ga rame tapi pesenan harus ditagihin baru dibikin,  sepi aja kaya gini gimana kalo rame? Makanan habis belum selesai itu minuman, giliran bawa minum dari luar ga boleh, kalo ngelarang gitu siapin pelayanan yang baik orang makan butuh minum. Pesen tambahan Pisang Goreng sama Dadar Jagung juga sama aja, Lelet banget ??, daripada pegawainya diem diem aja berdiri mending diberdayakan deh yang optimal"
4,2026-05-25T13:18:06.045Z,Barol Channel,"Tempat nyaman , makanan enak"
4,2026-05-25T11:31:02.902Z,zusuf vani,"Beberapa kali kesana baru ini bisa review.
Untuk makanannya perlu bener2 ketat. Karena saya makan berkuah, dan bumbu laosnya terasa banget. Overall oke semua sih."
2,2026-05-25T07:49:07.769Z,Shaffira Wdya,"makananya biasa aja, pelayananya sangat jelek, pelayannya judes2, bilang makanan wl 1,5 jam padahal enggak terlalu ramai. minuman lama banget nunggunya, sampai di tanya berkali2. baru pertama kali dateng tapi udah kecewa"
5,2026-05-25T06:16:55.036Z,Kiara Paramita Octaviani,"Mencoba tempat ini karena saya ingin sarapan tradisional Jawa. Pelayanannya bagus, makanannya enak. Kamu bisa makan nasi dengan 2 sayur hanya 15k dan kopi mulai dari 20k-ish. Dengan harga terpisah untuk lauk, Anda dapat menghabiskan 50k per orang di sini. Ini adalah pengalaman yang menyenangkan untuk makan selain nasi, tetapi cuaca bisa terlalu cerah."
1,2026-05-25T05:47:33.999Z,Annisa Tia Fadillah,"Ga worth it trs rasanya kurang enak + mahal. Kmren kesini udh tau kl makan tuh butuh minum, pesen air putih and wedang2an bukanya air putih dikasih langsung pas slesai payment malah dianternya agak lamaan pdhl gk ngantri atau apapun, trs wedang2an dianternya pas selesai makan udh agak lamaan, udh gt dianternya panas2 lg jd gbs langsung diminum, ini resto konsep makanan ndeso tp harga nya gk masuk wkwk enakan klothok ??"
5,2026-05-25T03:57:36.500Z,Tun Susdiyanti,Masakan Jawa... Banyak pilihan.. Suasana desa... Pelayanan ramah
5,2026-05-24T13:08:54.002Z,Kulinerku,Tempat yang nyaman buat makan dan harga relatif murah. Tempat makannya luas dan bersih. Parkiran mobil luas. Tersedia beraneka ragam masakan jawa. Rasanya enak. Pengajian prasmanan. Ambil nomor tempat duduk terlebih dahulu. Ambil makanan dan dicatat makanan yang diambil. Bayar ketika selesai makan.
5,2026-05-24T09:10:24.415Z,Wagiso Sastro,Secara umum sangat memuaskan
