model,accuracy,precision,recall,f1_score
Naive Bayes,0.901280,0.950276,0.534483,0.538353
Naive Bayes (SMOTE),0.892139,0.737430,0.871289,0.780618
SVM Linear,0.934186,0.902386,0.720048,0.777562
SVM Linear (SMOTE),0.908592,0.758830,0.812108,0.781759
KNN,0.895795,0.947802,0.508621,0.489413
KNN (SMOTE),0.230347,0.545058,0.554333,0.229843
Decision Tree,0.888483,0.707870,0.717280,0.712415
Decision Tree (SMOTE),0.870201,0.686059,0.752644,0.710976
Random Forest,0.912249,0.863877,0.609001,0.652146
Random Forest (SMOTE),0.923218,0.807281,0.759502,0.780632
